Address: 0x0001d2ee, Set: 0x2E, Miss, Tag: 0x0001D
Address: 0x0001ab35, Set: 0xB3, Miss, Tag: 0x0001A
Address: 0x000d62a9, Set: 0x2A, Miss, Tag: 0x000D6
Address: 0x000fe224, Set: 0x22, Miss, Tag: 0x000FE
Address: 0x000b682c, Set: 0x82, Miss, Tag: 0x000B6
Address: 0x000ce2a4, Set: 0x2A, Miss, Tag: 0x000CE
Address: 0x000ef0b9, Set: 0x0B, Miss, Tag: 0x000EF
Address: 0x000c86c6, Set: 0x6C, Miss, Tag: 0x000C8
Address: 0x000088c5, Set: 0x8C, Miss, Tag: 0x00008
Address: 0x000ef0b9, Set: 0x0B, Hit, Tag: 0x000EF
Address: 0x000a002a, Set: 0x02, Miss, Tag: 0x000A0
Address: 0x000d8c00, Set: 0xC0, Miss, Tag: 0x000D8
Address: 0x000c1167, Set: 0x16, Miss, Tag: 0x000C1
Address: 0x000c7227, Set: 0x22, Miss, Tag: 0x000C7
Address: 0x000e8b66, Set: 0xB6, Miss, Tag: 0x000E8
Address: 0x000c64c7, Set: 0x4C, Miss, Tag: 0x000C6
Address: 0x00011fdb, Set: 0xFD, Miss, Tag: 0x00011
Address: 0x0009c222, Set: 0x22, Miss, Tag: 0x0009C
Address: 0x000b5d0e, Set: 0xD0, Miss, Tag: 0x000B5
Address: 0x0008f374, Set: 0x37, Miss, Tag: 0x0008F
Address: 0x0001831b, Set: 0x31, Miss, Tag: 0x00018
Address: 0x00018468, Set: 0x46, Miss, Tag: 0x00018
Address: 0x0001ad7c, Set: 0xD7, Miss, Tag: 0x0001A
Address: 0x0000cf57, Set: 0xF5, Miss, Tag: 0x0000C
Address: 0x000b4b85, Set: 0xB8, Miss, Tag: 0x000B4
Address: 0x0001e035, Set: 0x03, Miss, Tag: 0x0001E
Address: 0x000b4b6c, Set: 0xB6, Miss, Tag: 0x000B4
Address: 0x00013ed7, Set: 0xED, Miss, Tag: 0x00013
Address: 0x000ef0b9, Set: 0x0B, Hit, Tag: 0x000EF
Address: 0x000083e5, Set: 0x3E, Miss, Tag: 0x00008
Address: 0x000c6536, Set: 0x53, Miss, Tag: 0x000C6
Address: 0x0000cb94, Set: 0xB9, Miss, Tag: 0x0000C
Address: 0x000e9c27, Set: 0xC2, Miss, Tag: 0x000E9
Address: 0x000cd1d9, Set: 0x1D, Miss, Tag: 0x000CD
Address: 0x000a2f86, Set: 0xF8, Miss, Tag: 0x000A2
Address: 0x000b4080, Set: 0x08, Miss, Tag: 0x000B4
Address: 0x00011022, Set: 0x02, Miss, Tag: 0x00011
Address: 0x000194cd, Set: 0x4C, Miss, Tag: 0x00019
Address: 0x000e873b, Set: 0x73, Miss, Tag: 0x000E8
Address: 0x000182eb, Set: 0x2E, Miss, Tag: 0x00018
Address: 0x0000e131, Set: 0x13, Miss, Tag: 0x0000E
Address: 0x000ef893, Set: 0x89, Miss, Tag: 0x000EF
Address: 0x0001e98e, Set: 0x98, Miss, Tag: 0x0001E
Address: 0x0000a248, Set: 0x24, Miss, Tag: 0x0000A
Address: 0x0001641c, Set: 0x41, Miss, Tag: 0x00016
Address: 0x00019735, Set: 0x73, Miss, Tag: 0x00019
Address: 0x0000da51, Set: 0xA5, Miss, Tag: 0x0000D
Address: 0x00012316, Set: 0x31, Miss, Tag: 0x00012
Address: 0x000cb8eb, Set: 0x8E, Miss, Tag: 0x000CB
Address: 0x000be666, Set: 0x66, Miss, Tag: 0x000BE
Address: 0x0000dc47, Set: 0xC4, Miss, Tag: 0x0000D
Address: 0x00013dff, Set: 0xDF, Miss, Tag: 0x00013
Address: 0x00019397, Set: 0x39, Miss, Tag: 0x00019
Address: 0x000e4f45, Set: 0xF4, Miss, Tag: 0x000E4
Address: 0x000be1ab, Set: 0x1A, Miss, Tag: 0x000BE
Address: 0x00012d7f, Set: 0xD7, Miss, Tag: 0x00012
Address: 0x000b23c6, Set: 0x3C, Miss, Tag: 0x000B2
Address: 0x000c6816, Set: 0x81, Miss, Tag: 0x000C6
Address: 0x000feaf9, Set: 0xAF, Miss, Tag: 0x000FE
Address: 0x0001d72e, Set: 0x72, Miss, Tag: 0x0001D
Address: 0x0001cd38, Set: 0xD3, Miss, Tag: 0x0001C
